timestamp,fear_greed_index
1704067200000,65
1704153600000,71
1704240000000,70
1704326400000,68
1704412800000,72
1704499200000,70
1704585600000,71
1704672000000,71
1704758400000,76
1704844800000,73
1704931200000,76
1705017600000,71
1705104000000,64
1705190400000,60
1705276800000,52
1705363200000,64
1705449600000,60
1705536000000,63
1705622400000,51
1705708800000,52
1705795200000,56
1705881600000,55
1705968000000,50
1706054400000,48
1706140800000,52
1706227200000,49
1706313600000,55
1706400000000,54
1706486400000,55
1706572800000,61
1706659200000,60
1706745600000,63
1706832000000,63
1706918400000,60
1707004800000,60
1707091200000,60
1707177600000,64
1707264000000,62
1707350400000,66
1707436800000,72
1707523200000,74
1707609600000,71
1707696000000,70
1707782400000,79
1707868800000,74
1707955200000,72
1708041600000,72
1708128000000,76
1708214400000,72
1708300800000,75
1708387200000,72
1708473600000,78
1708560000000,74
1708646400000,76
1708732800000,72
1708819200000,74
1708905600000,72
1708992000000,79
1709078400000,82
1709164800000,80
1709251200000,80
1709337600000,80
1709424000000,83
1709510400000,82
1709596800000,90
1709683200000,75
1709769600000,82
1709856000000,81
1709942400000,84
1710028800000,79
1710115200000,82
1710201600000,81
1710288000000,81
1710374400000,88
1710460800000,83
1710547200000,81
1710633600000,79
1710720000000,77
1710806400000,79
1710892800000,74
1710979200000,78
1711065600000,75
1711152000000,73
1711238400000,74
1711324800000,75
1711411200000,81
1711497600000,83
1711584000000,80
1711670400000,79
1711756800000,75
1711843200000,75
1711929600000,79
1712016000000,79
1712102400000,71
1712188800000,70
1712275200000,79
1712361600000,75
1712448000000,78
1712534400000,76
1712620800000,80
1712707200000,78
1712793600000,76
1712880000000,79
1712966400000,72
1713052800000,72
1713139200000,74
1713225600000,65
1713312000000,67
1713398400000,57
1713484800000,66
1713571200000,66
1713657600000,72
1713744000000,73
1713830400000,71
1713916800000,72
1714003200000,72
1714089600000,70
1714176000000,67
1714262400000,65
1714348800000,67
1714435200000,67
1714521600000,54
1714608000000,43
1714694400000,48
1714780800000,67
1714867200000,69
1714953600000,71
1715040000000,68
1715126400000,64
1715212800000,55
1715299200000,66
1715385600000,53
1715472000000,56
1715558400000,57
1715644800000,66
1715731200000,64
1715817600000,70
1715904000000,74
1715990400000,73
1716076800000,72
1716163200000,70
1716249600000,76
1716336000000,76
1716422400000,76
1716508800000,74
1716595200000,76
1716681600000,75
1716768000000,74
1716854400000,72
1716940800000,72
1717027200000,73
1717113600000,73
1717200000000,72
1717286400000,73
1717372800000,73
1717459200000,73
1717545600000,75
1717632000000,78
1717718400000,77
1717804800000,72
